no,category,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
30,Premium,Ethiopia Utopia,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
31,Premium,Ethiopia Utopia,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
32,Premium,French Roast,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-French-Roast-Premium.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-French-Roast-Premium.jpg,https://jeremiahspick.com/product/french-roast/,,,
33,Premium,French Roast,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-French-Roast.jpg,https://jeremiahspick.com/product/french-roast/,,,
34,Premium,French Roast,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/french-roast/,,,
35,Premium,French Roast,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-French-Roast-Premium.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-French-Roast-Premium.jpg,https://jeremiahspick.com/product/french-roast/,,,
36,Premium,French Roast,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-French-Roast.jpg,https://jeremiahspick.com/product/french-roast/,,,
37,Premium,French Roast,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/french-roast/,,,
38,Premium,Guatemala,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
39,Premium,Guatemala,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
40,Premium,Guatemala,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
41,Premium,Guatemala,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
42,Premium,Guatemala,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
43,Premium,Guatemala,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
44,Premium,Italian Roast,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Italian-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Italian-Roast.jpg,https://jeremiahspick.com/product/italian-roast/,,,
45,Premium,Italian Roast,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Dark-Italian.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Dark-Italian.jpg,https://jeremiahspick.com/product/italian-roast/,,,
46,Premium,Italian Roast,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/italian-roast/,,,
47,Premium,Italian Roast,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Italian-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Italian-Roast.jpg,https://jeremiahspick.com/product/italian-roast/,,,
48,Premium,Italian Roast,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Dark-Italian.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Dark-Italian.jpg,https://jeremiahspick.com/product/italian-roast/,,,
49,Premium,Italian Roast,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/italian-roast/,,,
